DATAFLOW,LAST UPDATE,freq,indic_env,material,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ENV_AC_SD(1.0),09.12.22 23:00,Annual,Exports of waste for recovery - recycling,Total,Thousand tonnes,Austria,2010,2700,
ESTAT:ENV_AC_SD(1.0),09.12.22 23:00,Annual,Exports of waste for recovery - recycling,Total,Thousand tonnes,Austria,2011,2812,
ESTAT:ENV_AC_SD(1.0),09.12.22 23:00,Annual,Exports of waste for recovery - recycling,Total,Thousand tonnes,Austria,2012,3150,
ESTAT:ENV_AC_SD(1.0),09.12.22 23:00,Annual,Exports of waste for recovery - recycling,Total,Thousand tonnes,Austria,2013,3193,
ESTAT:ENV_AC_SD(1.0),09.12.22 23:00,Annual,Exports of waste for recovery - recycling,Total,Thousand tonnes,Austria,2014,3391,
ESTAT:ENV_AC_SD(1.0),09.12.22 23:00,Annual,Exports of waste for recovery - recycling,Total,Thousand tonnes,Austria,2015,3512,
ESTAT:ENV_AC_SD(1.0),09.12.22 23:00,Annual,Exports of waste for recovery - recycling,Total,Thousand tonnes,Austria,2016,3675,
ESTAT:ENV_AC_SD(1.0),09.12.22 23:00,Annual,Exports of waste for recovery - recycling,Total,Thousand tonnes,Austria,2017,3868,
ESTAT:ENV_AC_SD(1.0),09.12.22 23:00,Annual,Exports of waste for recovery - recycling,Total,Thousand tonnes,Austria,2018,3808,
ESTAT:ENV_AC_SD(1.0),09.12.22 23:00,Annual,Exports of waste for recovery - recycling,Total,Thousand tonnes,Austria,2019,3759,
ESTAT:ENV_AC_SD(1.0),09.12.22 23:00,Annual,Exports of waste for recovery - recycling,Total,Thousand tonnes,Austria,2020,3672,
ESTAT:ENV_AC_SD(1.0),09.12.22 23:00,Annual,Exports of waste for recovery - recycling,Total,Thousand tonnes,Austria,2021,4044,
ESTAT:ENV_AC_SD(1.0),09.12.22 23:00,Annual,Exports of waste for recovery - recycling,Total,Thousand tonnes,Belgium,2010,9986,
ESTAT:ENV_AC_SD(1.0),09.12.22 23:00,Annual,Exports of waste for recovery - recycling,Total,Thousand tonnes,Belgium,2011,10035,
ESTAT:ENV_AC_SD(1.0),09.12.22 23:00,Annual,Exports of waste for recovery - recycling,Total,Thousand tonnes,Belgium,2012,10664,
ESTAT:ENV_AC_SD(1.0),09.12.22 23:00,Annual,Exports of waste for recovery - recycling,Total,Thousand tonnes,Belgium,2013,9708,
ESTAT:ENV_AC_SD(1.0),09.12.22 23:00,Annual,Exports of waste for recovery - recycling,Total,Thousand tonnes,Belgium,2014,11175,
ESTAT:ENV_AC_SD(1.0),09.12.22 23:00,Annual,Exports of waste for recovery - recycling,Total,Thousand tonnes,Belgium,2015,10086,
ESTAT:ENV_AC_SD(1.0),09.12.22 23:00,Annual,Exports of waste for recovery - recycling,Total,Thousand tonnes,Belgium,2016,10501,
