DATAFLOW,LAST UPDATE,freq,indic_env,material,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ENV_AC_SD(1.0),09.12.22 23:00,Annual,Imports of waste for recovery - recycling,Total,Thousand tonnes,Austria,2010,3515,
ESTAT:ENV_AC_SD(1.0),09.12.22 23:00,Annual,Imports of waste for recovery - recycling,Total,Thousand tonnes,Austria,2011,3729,
ESTAT:ENV_AC_SD(1.0),09.12.22 23:00,Annual,Imports of waste for recovery - recycling,Total,Thousand tonnes,Austria,2012,3652,
ESTAT:ENV_AC_SD(1.0),09.12.22 23:00,Annual,Imports of waste for recovery - recycling,Total,Thousand tonnes,Austria,2013,4019,
ESTAT:ENV_AC_SD(1.0),09.12.22 23:00,Annual,Imports of waste for recovery - recycling,Total,Thousand tonnes,Austria,2014,4501,
ESTAT:ENV_AC_SD(1.0),09.12.22 23:00,Annual,Imports of waste for recovery - recycling,Total,Thousand tonnes,Austria,2015,4799,
ESTAT:ENV_AC_SD(1.0),09.12.22 23:00,Annual,Imports of waste for recovery - recycling,Total,Thousand tonnes,Austria,2016,4337,
ESTAT:ENV_AC_SD(1.0),09.12.22 23:00,Annual,Imports of waste for recovery - recycling,Total,Thousand tonnes,Austria,2017,4689,
ESTAT:ENV_AC_SD(1.0),09.12.22 23:00,Annual,Imports of waste for recovery - recycling,Total,Thousand tonnes,Austria,2018,5004,
ESTAT:ENV_AC_SD(1.0),09.12.22 23:00,Annual,Imports of waste for recovery - recycling,Total,Thousand tonnes,Austria,2019,5091,
ESTAT:ENV_AC_SD(1.0),09.12.22 23:00,Annual,Imports of waste for recovery - recycling,Total,Thousand tonnes,Austria,2020,5071,
ESTAT:ENV_AC_SD(1.0),09.12.22 23:00,Annual,Imports of waste for recovery - recycling,Total,Thousand tonnes,Austria,2021,5544,
ESTAT:ENV_AC_SD(1.0),09.12.22 23:00,Annual,Imports of waste for recovery - recycling,Total,Thousand tonnes,Belgium,2010,11772,
ESTAT:ENV_AC_SD(1.0),09.12.22 23:00,Annual,Imports of waste for recovery - recycling,Total,Thousand tonnes,Belgium,2011,12150,
ESTAT:ENV_AC_SD(1.0),09.12.22 23:00,Annual,Imports of waste for recovery - recycling,Total,Thousand tonnes,Belgium,2012,12145,
ESTAT:ENV_AC_SD(1.0),09.12.22 23:00,Annual,Imports of waste for recovery - recycling,Total,Thousand tonnes,Belgium,2013,12275,
ESTAT:ENV_AC_SD(1.0),09.12.22 23:00,Annual,Imports of waste for recovery - recycling,Total,Thousand tonnes,Belgium,2014,13163,
ESTAT:ENV_AC_SD(1.0),09.12.22 23:00,Annual,Imports of waste for recovery - recycling,Total,Thousand tonnes,Belgium,2015,12589,
ESTAT:ENV_AC_SD(1.0),09.12.22 23:00,Annual,Imports of waste for recovery - recycling,Total,Thousand tonnes,Belgium,2016,12809,
ESTAT:ENV_AC_SD(1.0),09.12.22 23:00,Annual,Imports of waste for recovery - recycling,Total,Thousand tonnes,Belgium,2017,12555,
ESTAT:ENV_AC_SD(1.0),09.12.22 23:00,Annual,Imports of waste for recovery - recycling,Total,Thousand tonnes,Belgium,2018,12496,
ESTAT:ENV_AC_SD(1.0),09.12.22 23:00,Annual,Imports of waste for recovery - recycling,Total,Thousand tonnes,Belgium,2019,12108,
ESTAT:ENV_AC_SD(1.0),09.12.22 23:00,Annual,Imports of waste for recovery - recycling,Total,Thousand tonnes,Belgium,2020,12412,
ESTAT:ENV_AC_SD(1.0),09.12.22 23:00,Annual,Imports of waste for recovery - recycling,Total,Thousand tonnes,Belgium,2021,12979,
ESTAT:ENV_AC_SD(1.0),09.12.22 23:00,Annual,Imports of waste for recovery - recycling,Total,Thousand tonnes,Bulgaria,2010,563,
ESTAT:ENV_AC_SD(1.0),09.12.22 23:00,Annual,Imports of waste for recovery - recycling,Total,Thousand tonnes,Bulgaria,2011,600,
