DATAFLOW,LAST UPDATE,freq,indic_env,wst_oper,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ENV_WASFAC(1.0),14.09.22 23:00,Annual,Facilities - number,Recovery - recycling and backfilling (R2-R11),Austria,2004,1233,
ESTAT:ENV_WASFAC(1.0),14.09.22 23:00,Annual,Facilities - number,Recovery - recycling and backfilling (R2-R11),Austria,2006,1233,
ESTAT:ENV_WASFAC(1.0),14.09.22 23:00,Annual,Facilities - number,Recovery - recycling and backfilling (R2-R11),Austria,2008,1252,
ESTAT:ENV_WASFAC(1.0),14.09.22 23:00,Annual,Facilities - number,Recovery - recycling and backfilling (R2-R11),Austria,2010,1162,
ESTAT:ENV_WASFAC(1.0),14.09.22 23:00,Annual,Facilities - number,Recovery - recycling and backfilling (R2-R11),Austria,2012,1109,
ESTAT:ENV_WASFAC(1.0),14.09.22 23:00,Annual,Facilities - number,Recovery - recycling and backfilling (R2-R11),Austria,2014,1142,
ESTAT:ENV_WASFAC(1.0),14.09.22 23:00,Annual,Facilities - number,Recovery - recycling and backfilling (R2-R11),Austria,2016,1157,
ESTAT:ENV_WASFAC(1.0),14.09.22 23:00,Annual,Facilities - number,Recovery - recycling and backfilling (R2-R11),Austria,2018,1634,
ESTAT:ENV_WASFAC(1.0),14.09.22 23:00,Annual,Facilities - number,Recovery - recycling and backfilling (R2-R11),Austria,2020,1642,
ESTAT:ENV_WASFAC(1.0),14.09.22 23:00,Annual,Facilities - number,Recovery - recycling and backfilling (R2-R11),Belgium,2004,776,
ESTAT:ENV_WASFAC(1.0),14.09.22 23:00,Annual,Facilities - number,Recovery - recycling and backfilling (R2-R11),Belgium,2006,534,
ESTAT:ENV_WASFAC(1.0),14.09.22 23:00,Annual,Facilities - number,Recovery - recycling and backfilling (R2-R11),Belgium,2008,551,
ESTAT:ENV_WASFAC(1.0),14.09.22 23:00,Annual,Facilities - number,Recovery - recycling and backfilling (R2-R11),Belgium,2010,551,
ESTAT:ENV_WASFAC(1.0),14.09.22 23:00,Annual,Facilities - number,Recovery - recycling and backfilling (R2-R11),Belgium,2012,685,
ESTAT:ENV_WASFAC(1.0),14.09.22 23:00,Annual,Facilities - number,Recovery - recycling and backfilling (R2-R11),Belgium,2014,690,
ESTAT:ENV_WASFAC(1.0),14.09.22 23:00,Annual,Facilities - number,Recovery - recycling and backfilling (R2-R11),Belgium,2016,673,
ESTAT:ENV_WASFAC(1.0),14.09.22 23:00,Annual,Facilities - number,Recovery - recycling and backfilling (R2-R11),Belgium,2018,1067,
ESTAT:ENV_WASFAC(1.0),14.09.22 23:00,Annual,Facilities - number,Recovery - recycling and backfilling (R2-R11),Belgium,2020,1234,
ESTAT:ENV_WASFAC(1.0),14.09.22 23:00,Annual,Facilities - number,Recovery - recycling and backfilling (R2-R11),Bulgaria,2004,116,
ESTAT:ENV_WASFAC(1.0),14.09.22 23:00,Annual,Facilities - number,Recovery - recycling and backfilling (R2-R11),Bulgaria,2006,216,
ESTAT:ENV_WASFAC(1.0),14.09.22 23:00,Annual,Facilities - number,Recovery - recycling and backfilling (R2-R11),Bulgaria,2008,230,
ESTAT:ENV_WASFAC(1.0),14.09.22 23:00,Annual,Facilities - number,Recovery - recycling and backfilling (R2-R11),Bulgaria,2010,593,
ESTAT:ENV_WASFAC(1.0),14.09.22 23:00,Annual,Facilities - number,Recovery - recycling and backfilling (R2-R11),Bulgaria,2014,610,
ESTAT:ENV_WASFAC(1.0),14.09.22 23:00,Annual,Facilities - number,Recovery - recycling and backfilling (R2-R11),Bulgaria,2016,626,
ESTAT:ENV_WASFAC(1.0),14.09.22 23:00,Annual,Facilities - number,Recovery - recycling and backfilling (R2-R11),Bulgaria,2018,752,
ESTAT:ENV_WASFAC(1.0),14.09.22 23:00,Annual,Facilities - number,Recovery - recycling and backfilling (R2-R11),Bulgaria,2020,752,
ESTAT:ENV_WASFAC(1.0),14.09.22 23:00,Annual,Facilities - number,Recovery - recycling and backfilling (R2-R11),Cyprus,2004,74,
ESTAT:ENV_WASFAC(1.0),14.09.22 23:00,Annual,Facilities - number,Recovery - recycling and backfilling (R2-R11),Cyprus,2006,44,
ESTAT:ENV_WASFAC(1.0),14.09.22 23:00,Annual,Facilities - number,Recovery - recycling and backfilling (R2-R11),Cyprus,2008,74,
ESTAT:ENV_WASFAC(1.0),14.09.22 23:00,Annual,Facilities - number,Recovery - recycling and backfilling (R2-R11),Cyprus,2010,100,
ESTAT:ENV_WASFAC(1.0),14.09.22 23:00,Annual,Facilities - number,Recovery - recycling and backfilling (R2-R11),Cyprus,2012,112,
ESTAT:ENV_WASFAC(1.0),14.09.22 23:00,Annual,Facilities - number,Recovery - recycling and backfilling (R2-R11),Cyprus,2014,94,
ESTAT:ENV_WASFAC(1.0),14.09.22 23:00,Annual,Facilities - number,Recovery - recycling and backfilling (R2-R11),Cyprus,2016,20,
ESTAT:ENV_WASFAC(1.0),14.09.22 23:00,Annual,Facilities - number,Recovery - recycling and backfilling (R2-R11),Cyprus,2018,20,
ESTAT:ENV_WASFAC(1.0),14.09.22 23:00,Annual,Facilities - number,Recovery - recycling and backfilling (R2-R11),Cyprus,2020,29,
ESTAT:ENV_WASFAC(1.0),14.09.22 23:00,Annual,Facilities - number,Recovery - recycling and backfilling (R2-R11),Czechia,2004,327,
ESTAT:ENV_WASFAC(1.0),14.09.22 23:00,Annual,Facilities - number,Recovery - recycling and backfilling (R2-R11),Czechia,2006,636,
ESTAT:ENV_WASFAC(1.0),14.09.22 23:00,Annual,Facilities - number,Recovery - recycling and backfilling (R2-R11),Czechia,2008,842,
ESTAT:ENV_WASFAC(1.0),14.09.22 23:00,Annual,Facilities - number,Recovery - recycling and backfilling (R2-R11),Czechia,2010,1511,
ESTAT:ENV_WASFAC(1.0),14.09.22 23:00,Annual,Facilities - number,Recovery - recycling and backfilling (R2-R11),Czechia,2012,1669,
ESTAT:ENV_WASFAC(1.0),14.09.22 23:00,Annual,Facilities - number,Recovery - recycling and backfilling (R2-R11),Czechia,2014,1715,
ESTAT:ENV_WASFAC(1.0),14.09.22 23:00,Annual,Facilities - number,Recovery - recycling and backfilling (R2-R11),Czechia,2016,2607,
ESTAT:ENV_WASFAC(1.0),14.09.22 23:00,Annual,Facilities - number,Recovery - recycling and backfilling (R2-R11),Czechia,2018,2980,
ESTAT:ENV_WASFAC(1.0),14.09.22 23:00,Annual,Facilities - number,Recovery - recycling and backfilling (R2-R11),Czechia,2020,171203,
ESTAT:ENV_WASFAC(1.0),14.09.22 23:00,Annual,Facilities - number,Recovery - recycling and backfilling (R2-R11),Germany,2004,10069,
ESTAT:ENV_WASFAC(1.0),14.09.22 23:00,Annual,Facilities - number,Recovery - recycling and backfilling (R2-R11),Germany,2006,10860,
ESTAT:ENV_WASFAC(1.0),14.09.22 23:00,Annual,Facilities - number,Recovery - recycling and backfilling (R2-R11),Germany,2008,11235,
ESTAT:ENV_WASFAC(1.0),14.09.22 23:00,Annual,Facilities - number,Recovery - recycling and backfilling (R2-R11),Germany,2010,11370,
