DATAFLOW,LAST UPDATE,freq,unit,hazard,wst_oper,waste,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ENV_WASTRT(1.0),15.09.22 11:00,Annual,Tonne,Hazardous and non-hazardous - Total,Waste treatment,Total waste,Albania,2014,1228883,
ESTAT:ENV_WASTRT(1.0),15.09.22 11:00,Annual,Tonne,Hazardous and non-hazardous - Total,Waste treatment,Total waste,Austria,2004,51627556,
ESTAT:ENV_WASTRT(1.0),15.09.22 11:00,Annual,Tonne,Hazardous and non-hazardous - Total,Waste treatment,Total waste,Austria,2006,47127938,
ESTAT:ENV_WASTRT(1.0),15.09.22 11:00,Annual,Tonne,Hazardous and non-hazardous - Total,Waste treatment,Total waste,Austria,2008,48353391,
ESTAT:ENV_WASTRT(1.0),15.09.22 11:00,Annual,Tonne,Hazardous and non-hazardous - Total,Waste treatment,Total waste,Austria,2010,29751239,
ESTAT:ENV_WASTRT(1.0),15.09.22 11:00,Annual,Tonne,Hazardous and non-hazardous - Total,Waste treatment,Total waste,Austria,2012,46119965,
ESTAT:ENV_WASTRT(1.0),15.09.22 11:00,Annual,Tonne,Hazardous and non-hazardous - Total,Waste treatment,Total waste,Austria,2014,53945545,
ESTAT:ENV_WASTRT(1.0),15.09.22 11:00,Annual,Tonne,Hazardous and non-hazardous - Total,Waste treatment,Total waste,Austria,2016,60030567,
ESTAT:ENV_WASTRT(1.0),15.09.22 11:00,Annual,Tonne,Hazardous and non-hazardous - Total,Waste treatment,Total waste,Austria,2018,63205725,
ESTAT:ENV_WASTRT(1.0),15.09.22 11:00,Annual,Tonne,Hazardous and non-hazardous - Total,Waste treatment,Total waste,Austria,2020,66393484,
ESTAT:ENV_WASTRT(1.0),15.09.22 11:00,Annual,Tonne,Hazardous and non-hazardous - Total,Waste treatment,Total waste,Belgium,2004,32985766,
ESTAT:ENV_WASTRT(1.0),15.09.22 11:00,Annual,Tonne,Hazardous and non-hazardous - Total,Waste treatment,Total waste,Belgium,2006,30025212,
ESTAT:ENV_WASTRT(1.0),15.09.22 11:00,Annual,Tonne,Hazardous and non-hazardous - Total,Waste treatment,Total waste,Belgium,2008,28730624,
ESTAT:ENV_WASTRT(1.0),15.09.22 11:00,Annual,Tonne,Hazardous and non-hazardous - Total,Waste treatment,Total waste,Belgium,2010,33792919,
ESTAT:ENV_WASTRT(1.0),15.09.22 11:00,Annual,Tonne,Hazardous and non-hazardous - Total,Waste treatment,Total waste,Belgium,2012,42237159,
ESTAT:ENV_WASTRT(1.0),15.09.22 11:00,Annual,Tonne,Hazardous and non-hazardous - Total,Waste treatment,Total waste,Belgium,2014,42929920,
ESTAT:ENV_WASTRT(1.0),15.09.22 11:00,Annual,Tonne,Hazardous and non-hazardous - Total,Waste treatment,Total waste,Belgium,2016,43506358,
ESTAT:ENV_WASTRT(1.0),15.09.22 11:00,Annual,Tonne,Hazardous and non-hazardous - Total,Waste treatment,Total waste,Belgium,2018,48919987,
ESTAT:ENV_WASTRT(1.0),15.09.22 11:00,Annual,Tonne,Hazardous and non-hazardous - Total,Waste treatment,Total waste,Belgium,2020,54578904,
ESTAT:ENV_WASTRT(1.0),15.09.22 11:00,Annual,Tonne,Hazardous and non-hazardous - Total,Waste treatment,Total waste,Bulgaria,2004,195064838,
ESTAT:ENV_WASTRT(1.0),15.09.22 11:00,Annual,Tonne,Hazardous and non-hazardous - Total,Waste treatment,Total waste,Bulgaria,2006,158316294,
ESTAT:ENV_WASTRT(1.0),15.09.22 11:00,Annual,Tonne,Hazardous and non-hazardous - Total,Waste treatment,Total waste,Bulgaria,2008,161161013,
ESTAT:ENV_WASTRT(1.0),15.09.22 11:00,Annual,Tonne,Hazardous and non-hazardous - Total,Waste treatment,Total waste,Bulgaria,2010,159954779,
ESTAT:ENV_WASTRT(1.0),15.09.22 11:00,Annual,Tonne,Hazardous and non-hazardous - Total,Waste treatment,Total waste,Bulgaria,2012,158751929,
ESTAT:ENV_WASTRT(1.0),15.09.22 11:00,Annual,Tonne,Hazardous and non-hazardous - Total,Waste treatment,Total waste,Bulgaria,2014,175705396,
ESTAT:ENV_WASTRT(1.0),15.09.22 11:00,Annual,Tonne,Hazardous and non-hazardous - Total,Waste treatment,Total waste,Bulgaria,2016,116858250,
ESTAT:ENV_WASTRT(1.0),15.09.22 11:00,Annual,Tonne,Hazardous and non-hazardous - Total,Waste treatment,Total waste,Bulgaria,2018,118631031,
