TIME,GEO,CEPAREMA,UNIT,Value
2006,European Union,Waste management,Million euro,4159.30
2006,Belgium,Waste management,Million euro,
2006,Bulgaria,Waste management,Million euro,8.10
2006,Czechia,Waste management,Million euro,
2006,Denmark,Waste management,Million euro,2.10
2006,Germany,Waste management,Million euro,
2006,Estonia,Waste management,Million euro,
2006,Ireland,Waste management,Million euro,
2006,Greece,Waste management,Million euro,
2006,Spain,Waste management,Million euro,
2006,France,Waste management,Million euro,1296.10
2006,Croatia,Waste management,Million euro,
2006,Italy,Waste management,Million euro,
2006,Cyprus,Waste management,Million euro,
2006,Latvia,Waste management,Million euro,
2006,Lithuania,Waste management,Million euro,19.40
2006,Luxembourg,Waste management,Million euro,
2006,Hungary,Waste management,Million euro,
2006,Malta,Waste management,Million euro,
2006,Netherlands,Waste management,Million euro,
2006,Austria,Waste management,Million euro,26.10
2006,Poland,Waste management,Million euro,
2006,Portugal,Waste management,Million euro,
2006,Romania,Waste management,Million euro,15.30
2006,Slovenia,Waste management,Million euro,
2006,Slovakia,Waste management,Million euro,
2006,Finland,Waste management,Million euro,
2006,Sweden,Waste management,Million euro,226.00
2006,Iceland,Waste management,Million euro,
2006,Norway,Waste management,Million euro,
2006,Switzerland,Waste management,Million euro,243.40
2006,United Kingdom,Waste management,Million euro,
2006,Serbia,Waste management,Million euro,
2006,Turkiye,Waste management,Million euro,
2007,European Union,Waste management,Million euro,4029.60
2007,Belgium,Waste management,Million euro,
2007,Bulgaria,Waste management,Million euro,11.50
2007,Czechia,Waste management,Million euro,
2007,Denmark,Waste management,Million euro,1.10
2007,Germany,Waste management,Million euro,
2007,Estonia,Waste management,Million euro,
2007,Ireland,Waste management,Million euro,
2007,Greece,Waste management,Million euro,
2007,Spain,Waste management,Million euro,
2007,France,Waste management,Million euro,1040.60
2007,Croatia,Waste management,Million euro,
2007,Italy,Waste management,Million euro,
2007,Cyprus,Waste management,Million euro,
2007,Latvia,Waste management,Million euro,
2007,Lithuania,Waste management,Million euro,42.90
2007,Luxembourg,Waste management,Million euro,
2007,Hungary,Waste management,Million euro,
2007,Malta,Waste management,Million euro,
2007,Netherlands,Waste management,Million euro,
2007,Austria,Waste management,Million euro,42.10
2007,Poland,Waste management,Million euro,
2007,Portugal,Waste management,Million euro,
2007,Romania,Waste management,Million euro,39.80
2007,Slovenia,Waste management,Million euro,
2007,Slovakia,Waste management,Million euro,
2007,Finland,Waste management,Million euro,
2007,Sweden,Waste management,Million euro,251.30
2007,Iceland,Waste management,Million euro,
2007,Norway,Waste management,Million euro,
2007,Switzerland,Waste management,Million euro,242.00
2007,United Kingdom,Waste management,Million euro,
2007,Serbia,Waste management,Million euro,
2007,Turkiye,Waste management,Million euro,
2008,European Union,Waste management,Million euro,4372.00
2008,Belgium,Waste management,Million euro,
2008,Bulgaria,Waste management,Million euro,18.10
2008,Czechia,Waste management,Million euro,
2008,Denmark,Waste management,Million euro,0.70
2008,Germany,Waste management,Million euro,
2008,Estonia,Waste management,Million euro,
2008,Ireland,Waste management,Million euro,74.10
2008,Greece,Waste management,Million euro,
2008,Spain,Waste management,Million euro,
2008,France,Waste management,Million euro,915.50
2008,Croatia,Waste management,Million euro,
2008,Italy,Waste management,Million euro,421.00
2008,Cyprus,Waste management,Million euro,
2008,Latvia,Waste management,Million euro,4.50
2008,Lithuania,Waste management,Million euro,47.10
2008,Luxembourg,Waste management,Million euro,5.20
2008,Hungary,Waste management,Million euro,
2008,Malta,Waste management,Million euro,
2008,Netherlands,Waste management,Million euro,
2008,Austria,Waste management,Million euro,20.60
2008,Poland,Waste management,Million euro,
2008,Portugal,Waste management,Million euro,
2008,Romania,Waste management,Million euro,52.60
2008,Slovenia,Waste management,Million euro,23.70
2008,Slovakia,Waste management,Million euro,18.30
2008,Finland,Waste management,Million euro,
2008,Sweden,Waste management,Million euro,248.90
2008,Iceland,Waste management,Million euro,
2008,Norway,Waste management,Million euro,
2008,Switzerland,Waste management,Million euro,323.20
