DATAFLOW,LAST UPDATE,freq,unit,sector,cofog99,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:GOV_10A_EXP(1.0),14.11.22 23:00,Annual,Million euro,General government,Waste management,Total general government expenditure,Austria,1995,528.6,
ESTAT:GOV_10A_EXP(1.0),14.11.22 23:00,Annual,Million euro,General government,Waste management,Total general government expenditure,Austria,1996,489.9,
ESTAT:GOV_10A_EXP(1.0),14.11.22 23:00,Annual,Million euro,General government,Waste management,Total general government expenditure,Austria,1997,62.8,
ESTAT:GOV_10A_EXP(1.0),14.11.22 23:00,Annual,Million euro,General government,Waste management,Total general government expenditure,Austria,1998,58.4,
ESTAT:GOV_10A_EXP(1.0),14.11.22 23:00,Annual,Million euro,General government,Waste management,Total general government expenditure,Austria,1999,119.3,
ESTAT:GOV_10A_EXP(1.0),14.11.22 23:00,Annual,Million euro,General government,Waste management,Total general government expenditure,Austria,2000,118.8,
ESTAT:GOV_10A_EXP(1.0),14.11.22 23:00,Annual,Million euro,General government,Waste management,Total general government expenditure,Austria,2001,125.6,
ESTAT:GOV_10A_EXP(1.0),14.11.22 23:00,Annual,Million euro,General government,Waste management,Total general government expenditure,Austria,2002,132,
ESTAT:GOV_10A_EXP(1.0),14.11.22 23:00,Annual,Million euro,General government,Waste management,Total general government expenditure,Austria,2003,131.7,
ESTAT:GOV_10A_EXP(1.0),14.11.22 23:00,Annual,Million euro,General government,Waste management,Total general government expenditure,Austria,2004,123.9,
ESTAT:GOV_10A_EXP(1.0),14.11.22 23:00,Annual,Million euro,General government,Waste management,Total general government expenditure,Austria,2005,150.4,
ESTAT:GOV_10A_EXP(1.0),14.11.22 23:00,Annual,Million euro,General government,Waste management,Total general government expenditure,Austria,2006,149.2,
ESTAT:GOV_10A_EXP(1.0),14.11.22 23:00,Annual,Million euro,General government,Waste management,Total general government expenditure,Austria,2007,151.9,
ESTAT:GOV_10A_EXP(1.0),14.11.22 23:00,Annual,Million euro,General government,Waste management,Total general government expenditure,Austria,2008,162.3,
ESTAT:GOV_10A_EXP(1.0),14.11.22 23:00,Annual,Million euro,General government,Waste management,Total general government expenditure,Austria,2009,160.3,
ESTAT:GOV_10A_EXP(1.0),14.11.22 23:00,Annual,Million euro,General government,Waste management,Total general government expenditure,Austria,2010,160.3,
ESTAT:GOV_10A_EXP(1.0),14.11.22 23:00,Annual,Million euro,General government,Waste management,Total general government expenditure,Austria,2011,161.5,
ESTAT:GOV_10A_EXP(1.0),14.11.22 23:00,Annual,Million euro,General government,Waste management,Total general government expenditure,Austria,2012,158.5,
ESTAT:GOV_10A_EXP(1.0),14.11.22 23:00,Annual,Million euro,General government,Waste management,Total general government expenditure,Austria,2013,158.2,
ESTAT:GOV_10A_EXP(1.0),14.11.22 23:00,Annual,Million euro,General government,Waste management,Total general government expenditure,Austria,2014,165.6,
ESTAT:GOV_10A_EXP(1.0),14.11.22 23:00,Annual,Million euro,General government,Waste management,Total general government expenditure,Austria,2015,173.2,
ESTAT:GOV_10A_EXP(1.0),14.11.22 23:00,Annual,Million euro,General government,Waste management,Total general government expenditure,Austria,2016,173.6,
ESTAT:GOV_10A_EXP(1.0),14.11.22 23:00,Annual,Million euro,General government,Waste management,Total general government expenditure,Austria,2017,173.5,
ESTAT:GOV_10A_EXP(1.0),14.11.22 23:00,Annual,Million euro,General government,Waste management,Total general government expenditure,Austria,2018,184,
ESTAT:GOV_10A_EXP(1.0),14.11.22 23:00,Annual,Million euro,General government,Waste management,Total general government expenditure,Austria,2019,190.6,
ESTAT:GOV_10A_EXP(1.0),14.11.22 23:00,Annual,Million euro,General government,Waste management,Total general government expenditure,Austria,2020,196,
ESTAT:GOV_10A_EXP(1.0),14.11.22 23:00,Annual,Million euro,General government,Waste management,Total general government expenditure,Austria,2021,216.3,
ESTAT:GOV_10A_EXP(1.0),14.11.22 23:00,Annual,Million euro,General government,Waste management,Total general government expenditure,Belgium,2001,1051.6,
ESTAT:GOV_10A_EXP(1.0),14.11.22 23:00,Annual,Million euro,General government,Waste management,Total general government expenditure,Belgium,2002,1120.9,
ESTAT:GOV_10A_EXP(1.0),14.11.22 23:00,Annual,Million euro,General government,Waste management,Total general government expenditure,Belgium,2003,1160.3,
ESTAT:GOV_10A_EXP(1.0),14.11.22 23:00,Annual,Million euro,General government,Waste management,Total general government expenditure,Belgium,2004,1272.6,
ESTAT:GOV_10A_EXP(1.0),14.11.22 23:00,Annual,Million euro,General government,Waste management,Total general government expenditure,Belgium,2005,1324.4,
ESTAT:GOV_10A_EXP(1.0),14.11.22 23:00,Annual,Million euro,General government,Waste management,Total general government expenditure,Belgium,2006,1287.1,
ESTAT:GOV_10A_EXP(1.0),14.11.22 23:00,Annual,Million euro,General government,Waste management,Total general government expenditure,Belgium,2007,1366,
ESTAT:GOV_10A_EXP(1.0),14.11.22 23:00,Annual,Million euro,General government,Waste management,Total general government expenditure,Belgium,2008,1674.1,
ESTAT:GOV_10A_EXP(1.0),14.11.22 23:00,Annual,Million euro,General government,Waste management,Total general government expenditure,Belgium,2009,1620.3,
ESTAT:GOV_10A_EXP(1.0),14.11.22 23:00,Annual,Million euro,General government,Waste management,Total general government expenditure,Belgium,2010,1497.7,
ESTAT:GOV_10A_EXP(1.0),14.11.22 23:00,Annual,Million euro,General government,Waste management,Total general government expenditure,Belgium,2011,1566.2,
ESTAT:GOV_10A_EXP(1.0),14.11.22 23:00,Annual,Million euro,General government,Waste management,Total general government expenditure,Belgium,2012,1560.6,
ESTAT:GOV_10A_EXP(1.0),14.11.22 23:00,Annual,Million euro,General government,Waste management,Total general government expenditure,Belgium,2013,1578,
ESTAT:GOV_10A_EXP(1.0),14.11.22 23:00,Annual,Million euro,General government,Waste management,Total general government expenditure,Belgium,2014,1478.5,
ESTAT:GOV_10A_EXP(1.0),14.11.22 23:00,Annual,Million euro,General government,Waste management,Total general government expenditure,Belgium,2015,1529.1,
ESTAT:GOV_10A_EXP(1.0),14.11.22 23:00,Annual,Million euro,General government,Waste management,Total general government expenditure,Belgium,2016,1631.7,
ESTAT:GOV_10A_EXP(1.0),14.11.22 23:00,Annual,Million euro,General government,Waste management,Total general government expenditure,Belgium,2017,1726.6,
ESTAT:GOV_10A_EXP(1.0),14.11.22 23:00,Annual,Million euro,General government,Waste management,Total general government expenditure,Belgium,2018,1847.4,
ESTAT:GOV_10A_EXP(1.0),14.11.22 23:00,Annual,Million euro,General government,Waste management,Total general government expenditure,Belgium,2019,1994.1,
ESTAT:GOV_10A_EXP(1.0),14.11.22 23:00,Annual,Million euro,General government,Waste management,Total general government expenditure,Belgium,2020,2113.2,
ESTAT:GOV_10A_EXP(1.0),14.11.22 23:00,Annual,Million euro,General government,Waste management,Total general government expenditure,Bulgaria,1995,2.1,
ESTAT:GOV_10A_EXP(1.0),14.11.22 23:00,Annual,Million euro,General government,Waste management,Total general government expenditure,Bulgaria,1996,1.3,
ESTAT:GOV_10A_EXP(1.0),14.11.22 23:00,Annual,Million euro,General government,Waste management,Total general government expenditure,Bulgaria,1997,1.8,
ESTAT:GOV_10A_EXP(1.0),14.11.22 23:00,Annual,Million euro,General government,Waste management,Total general government expenditure,Bulgaria,1998,5.3,
ESTAT:GOV_10A_EXP(1.0),14.11.22 23:00,Annual,Million euro,General government,Waste management,Total general government expenditure,Bulgaria,1999,4.7,
ESTAT:GOV_10A_EXP(1.0),14.11.22 23:00,Annual,Million euro,General government,Waste management,Total general government expenditure,Bulgaria,2000,5.7,
ESTAT:GOV_10A_EXP(1.0),14.11.22 23:00,Annual,Million euro,General government,Waste management,Total general government expenditure,Bulgaria,2001,4,
ESTAT:GOV_10A_EXP(1.0),14.11.22 23:00,Annual,Million euro,General government,Waste management,Total general government expenditure,Bulgaria,2002,81.7,
ESTAT:GOV_10A_EXP(1.0),14.11.22 23:00,Annual,Million euro,General government,Waste management,Total general government expenditure,Bulgaria,2003,83.5,
ESTAT:GOV_10A_EXP(1.0),14.11.22 23:00,Annual,Million euro,General government,Waste management,Total general government expenditure,Bulgaria,2004,101.2,
ESTAT:GOV_10A_EXP(1.0),14.11.22 23:00,Annual,Million euro,General government,Waste management,Total general government expenditure,Bulgaria,2005,121,
ESTAT:GOV_10A_EXP(1.0),14.11.22 23:00,Annual,Million euro,General government,Waste management,Total general government expenditure,Bulgaria,2006,181,
ESTAT:GOV_10A_EXP(1.0),14.11.22 23:00,Annual,Million euro,General government,Waste management,Total general government expenditure,Bulgaria,2007,153.7,
ESTAT:GOV_10A_EXP(1.0),14.11.22 23:00,Annual,Million euro,General government,Waste management,Total general government expenditure,Bulgaria,2008,172.8,
ESTAT:GOV_10A_EXP(1.0),14.11.22 23:00,Annual,Million euro,General government,Waste management,Total general government expenditure,Bulgaria,2009,206.4,
ESTAT:GOV_10A_EXP(1.0),14.11.22 23:00,Annual,Million euro,General government,Waste management,Total general government expenditure,Bulgaria,2010,207.7,
ESTAT:GOV_10A_EXP(1.0),14.11.22 23:00,Annual,Million euro,General government,Waste management,Total general government expenditure,Bulgaria,2011,228.8,
ESTAT:GOV_10A_EXP(1.0),14.11.22 23:00,Annual,Million euro,General government,Waste management,Total general government expenditure,Bulgaria,2012,230.9,
ESTAT:GOV_10A_EXP(1.0),14.11.22 23:00,Annual,Million euro,General government,Waste management,Total general government expenditure,Bulgaria,2013,256.2,
ESTAT:GOV_10A_EXP(1.0),14.11.22 23:00,Annual,Million euro,General government,Waste management,Total general government expenditure,Bulgaria,2014,271.7,
ESTAT:GOV_10A_EXP(1.0),14.11.22 23:00,Annual,Million euro,General government,Waste management,Total general government expenditure,Bulgaria,2015,326.1,
ESTAT:GOV_10A_EXP(1.0),14.11.22 23:00,Annual,Million euro,General government,Waste management,Total general government expenditure,Bulgaria,2016,279.2,
