DATAFLOW,LAST UPDATE,freq,unit,sector,cofog99,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:GOV_10A_EXP(1.0),14.11.22 23:00,Annual,Percentage of gross domestic product (GDP),General government,Waste management,Total general government expenditure,Austria,1995,0.3,
ESTAT:GOV_10A_EXP(1.0),14.11.22 23:00,Annual,Percentage of gross domestic product (GDP),General government,Waste management,Total general government expenditure,Austria,1996,0.3,
ESTAT:GOV_10A_EXP(1.0),14.11.22 23:00,Annual,Percentage of gross domestic product (GDP),General government,Waste management,Total general government expenditure,Austria,1997,0,
ESTAT:GOV_10A_EXP(1.0),14.11.22 23:00,Annual,Percentage of gross domestic product (GDP),General government,Waste management,Total general government expenditure,Austria,1998,0,
ESTAT:GOV_10A_EXP(1.0),14.11.22 23:00,Annual,Percentage of gross domestic product (GDP),General government,Waste management,Total general government expenditure,Austria,1999,0.1,
ESTAT:GOV_10A_EXP(1.0),14.11.22 23:00,Annual,Percentage of gross domestic product (GDP),General government,Waste management,Total general government expenditure,Austria,2000,0.1,
ESTAT:GOV_10A_EXP(1.0),14.11.22 23:00,Annual,Percentage of gross domestic product (GDP),General government,Waste management,Total general government expenditure,Austria,2001,0.1,
ESTAT:GOV_10A_EXP(1.0),14.11.22 23:00,Annual,Percentage of gross domestic product (GDP),General government,Waste management,Total general government expenditure,Austria,2002,0.1,
ESTAT:GOV_10A_EXP(1.0),14.11.22 23:00,Annual,Percentage of gross domestic product (GDP),General government,Waste management,Total general government expenditure,Austria,2003,0.1,
ESTAT:GOV_10A_EXP(1.0),14.11.22 23:00,Annual,Percentage of gross domestic product (GDP),General government,Waste management,Total general government expenditure,Austria,2004,0.1,
ESTAT:GOV_10A_EXP(1.0),14.11.22 23:00,Annual,Percentage of gross domestic product (GDP),General government,Waste management,Total general government expenditure,Austria,2005,0.1,
ESTAT:GOV_10A_EXP(1.0),14.11.22 23:00,Annual,Percentage of gross domestic product (GDP),General government,Waste management,Total general government expenditure,Austria,2006,0.1,
ESTAT:GOV_10A_EXP(1.0),14.11.22 23:00,Annual,Percentage of gross domestic product (GDP),General government,Waste management,Total general government expenditure,Austria,2007,0.1,
ESTAT:GOV_10A_EXP(1.0),14.11.22 23:00,Annual,Percentage of gross domestic product (GDP),General government,Waste management,Total general government expenditure,Austria,2008,0.1,
ESTAT:GOV_10A_EXP(1.0),14.11.22 23:00,Annual,Percentage of gross domestic product (GDP),General government,Waste management,Total general government expenditure,Austria,2009,0.1,
ESTAT:GOV_10A_EXP(1.0),14.11.22 23:00,Annual,Percentage of gross domestic product (GDP),General government,Waste management,Total general government expenditure,Austria,2010,0.1,
ESTAT:GOV_10A_EXP(1.0),14.11.22 23:00,Annual,Percentage of gross domestic product (GDP),General government,Waste management,Total general government expenditure,Austria,2011,0.1,
ESTAT:GOV_10A_EXP(1.0),14.11.22 23:00,Annual,Percentage of gross domestic product (GDP),General government,Waste management,Total general government expenditure,Austria,2012,0,
ESTAT:GOV_10A_EXP(1.0),14.11.22 23:00,Annual,Percentage of gross domestic product (GDP),General government,Waste management,Total general government expenditure,Austria,2013,0,
ESTAT:GOV_10A_EXP(1.0),14.11.22 23:00,Annual,Percentage of gross domestic product (GDP),General government,Waste management,Total general government expenditure,Austria,2014,0,
ESTAT:GOV_10A_EXP(1.0),14.11.22 23:00,Annual,Percentage of gross domestic product (GDP),General government,Waste management,Total general government expenditure,Austria,2015,0.1,
ESTAT:GOV_10A_EXP(1.0),14.11.22 23:00,Annual,Percentage of gross domestic product (GDP),General government,Waste management,Total general government expenditure,Austria,2016,0,
ESTAT:GOV_10A_EXP(1.0),14.11.22 23:00,Annual,Percentage of gross domestic product (GDP),General government,Waste management,Total general government expenditure,Austria,2017,0,
ESTAT:GOV_10A_EXP(1.0),14.11.22 23:00,Annual,Percentage of gross domestic product (GDP),General government,Waste management,Total general government expenditure,Austria,2018,0,
ESTAT:GOV_10A_EXP(1.0),14.11.22 23:00,Annual,Percentage of gross domestic product (GDP),General government,Waste management,Total general government expenditure,Austria,2019,0,
ESTAT:GOV_10A_EXP(1.0),14.11.22 23:00,Annual,Percentage of gross domestic product (GDP),General government,Waste management,Total general government expenditure,Austria,2020,0.1,
ESTAT:GOV_10A_EXP(1.0),14.11.22 23:00,Annual,Percentage of gross domestic product (GDP),General government,Waste management,Total general government expenditure,Austria,2021,0.1,
ESTAT:GOV_10A_EXP(1.0),14.11.22 23:00,Annual,Percentage of gross domestic product (GDP),General government,Waste management,Total general government expenditure,Belgium,2001,0.4,
ESTAT:GOV_10A_EXP(1.0),14.11.22 23:00,Annual,Percentage of gross domestic product (GDP),General government,Waste management,Total general government expenditure,Belgium,2002,0.4,
ESTAT:GOV_10A_EXP(1.0),14.11.22 23:00,Annual,Percentage of gross domestic product (GDP),General government,Waste management,Total general government expenditure,Belgium,2003,0.4,
ESTAT:GOV_10A_EXP(1.0),14.11.22 23:00,Annual,Percentage of gross domestic product (GDP),General government,Waste management,Total general government expenditure,Belgium,2004,0.4,
ESTAT:GOV_10A_EXP(1.0),14.11.22 23:00,Annual,Percentage of gross domestic product (GDP),General government,Waste management,Total general government expenditure,Belgium,2005,0.4,
ESTAT:GOV_10A_EXP(1.0),14.11.22 23:00,Annual,Percentage of gross domestic product (GDP),General government,Waste management,Total general government expenditure,Belgium,2006,0.4,
ESTAT:GOV_10A_EXP(1.0),14.11.22 23:00,Annual,Percentage of gross domestic product (GDP),General government,Waste management,Total general government expenditure,Belgium,2007,0.4,
ESTAT:GOV_10A_EXP(1.0),14.11.22 23:00,Annual,Percentage of gross domestic product (GDP),General government,Waste management,Total general government expenditure,Belgium,2008,0.5,
ESTAT:GOV_10A_EXP(1.0),14.11.22 23:00,Annual,Percentage of gross domestic product (GDP),General government,Waste management,Total general government expenditure,Belgium,2009,0.5,
ESTAT:GOV_10A_EXP(1.0),14.11.22 23:00,Annual,Percentage of gross domestic product (GDP),General government,Waste management,Total general government expenditure,Belgium,2010,0.4,
ESTAT:GOV_10A_EXP(1.0),14.11.22 23:00,Annual,Percentage of gross domestic product (GDP),General government,Waste management,Total general government expenditure,Belgium,2011,0.4,
ESTAT:GOV_10A_EXP(1.0),14.11.22 23:00,Annual,Percentage of gross domestic product (GDP),General government,Waste management,Total general government expenditure,Belgium,2012,0.4,
ESTAT:GOV_10A_EXP(1.0),14.11.22 23:00,Annual,Percentage of gross domestic product (GDP),General government,Waste management,Total general government expenditure,Belgium,2013,0.4,
ESTAT:GOV_10A_EXP(1.0),14.11.22 23:00,Annual,Percentage of gross domestic product (GDP),General government,Waste management,Total general government expenditure,Belgium,2014,0.4,
ESTAT:GOV_10A_EXP(1.0),14.11.22 23:00,Annual,Percentage of gross domestic product (GDP),General government,Waste management,Total general government expenditure,Belgium,2015,0.4,
ESTAT:GOV_10A_EXP(1.0),14.11.22 23:00,Annual,Percentage of gross domestic product (GDP),General government,Waste management,Total general government expenditure,Belgium,2016,0.4,
ESTAT:GOV_10A_EXP(1.0),14.11.22 23:00,Annual,Percentage of gross domestic product (GDP),General government,Waste management,Total general government expenditure,Belgium,2017,0.4,
ESTAT:GOV_10A_EXP(1.0),14.11.22 23:00,Annual,Percentage of gross domestic product (GDP),General government,Waste management,Total general government expenditure,Belgium,2018,0.4,
ESTAT:GOV_10A_EXP(1.0),14.11.22 23:00,Annual,Percentage of gross domestic product (GDP),General government,Waste management,Total general government expenditure,Belgium,2019,0.4,
ESTAT:GOV_10A_EXP(1.0),14.11.22 23:00,Annual,Percentage of gross domestic product (GDP),General government,Waste management,Total general government expenditure,Belgium,2020,0.5,
ESTAT:GOV_10A_EXP(1.0),14.11.22 23:00,Annual,Percentage of gross domestic product (GDP),General government,Waste management,Total general government expenditure,Bulgaria,1995,0,
ESTAT:GOV_10A_EXP(1.0),14.11.22 23:00,Annual,Percentage of gross domestic product (GDP),General government,Waste management,Total general government expenditure,Bulgaria,1996,0,
ESTAT:GOV_10A_EXP(1.0),14.11.22 23:00,Annual,Percentage of gross domestic product (GDP),General government,Waste management,Total general government expenditure,Bulgaria,1997,0,
ESTAT:GOV_10A_EXP(1.0),14.11.22 23:00,Annual,Percentage of gross domestic product (GDP),General government,Waste management,Total general government expenditure,Bulgaria,1998,0,
ESTAT:GOV_10A_EXP(1.0),14.11.22 23:00,Annual,Percentage of gross domestic product (GDP),General government,Waste management,Total general government expenditure,Bulgaria,1999,0,
ESTAT:GOV_10A_EXP(1.0),14.11.22 23:00,Annual,Percentage of gross domestic product (GDP),General government,Waste management,Total general government expenditure,Bulgaria,2000,0,
ESTAT:GOV_10A_EXP(1.0),14.11.22 23:00,Annual,Percentage of gross domestic product (GDP),General government,Waste management,Total general government expenditure,Bulgaria,2001,0,
ESTAT:GOV_10A_EXP(1.0),14.11.22 23:00,Annual,Percentage of gross domestic product (GDP),General government,Waste management,Total general government expenditure,Bulgaria,2002,0.5,
ESTAT:GOV_10A_EXP(1.0),14.11.22 23:00,Annual,Percentage of gross domestic product (GDP),General government,Waste management,Total general government expenditure,Bulgaria,2003,0.4,
ESTAT:GOV_10A_EXP(1.0),14.11.22 23:00,Annual,Percentage of gross domestic product (GDP),General government,Waste management,Total general government expenditure,Bulgaria,2004,0.5,
ESTAT:GOV_10A_EXP(1.0),14.11.22 23:00,Annual,Percentage of gross domestic product (GDP),General government,Waste management,Total general government expenditure,Bulgaria,2005,0.5,
